"0.000","Info","2020-08-03 17:28:45","Service 'cocc_96' : Execution start"
"0.000","Info","Apparatus","Zantiks AD internal Unit"
"0.000","Info","Unit ID","3C208A"
"TIME","TEMPERATURE","VARIABLE","TREATMENT","SERIES","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","ARENA_ACTIVITY","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4"
"1530.889",,"ARENA_DISTANCES","DARK",25,0,0,0,0,0,0,7,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.002762,0.000000,0.000000,0.000153,0.000000,0.000000,0.000000,0.000000,0.000000
"1590.899",,"ARENA_DISTANCES","DARK",26,0,0,0,0,0,0,264,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006744,0.000000,0.000000,0.000000,0.000000,0.000000
"1650.917",,"ARENA_DISTANCES","DARK",27,0,0,0,0,0,0,6,0,0,0,62,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004486,0.000000,0.000000,0.000000,0.000000,0.000000
"1710.942",,"ARENA_DISTANCES","DARK",28,0,0,0,0,0,0,6,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000015,0.000000,0.000000,0.000000,0.000000,0.000000
"1770.964",,"ARENA_DISTANCES","DARK",29,0,0,0,0,0,0,0,14,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1830.983",,"ARENA_DISTANCES","DARK",30,0,0,0,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1891.009",,"ARENA_DISTANCES","DARK",31,0,0,0,0,0,0,0,0,0,0,0,13,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"1951.029",,"ARENA_DISTANCES","DARK",32,0,0,6,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2011.047",,"ARENA_DISTANCES","DARK",33,0,0,6,0,0,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
"2071.073",,"ARENA_DISTANCES","DARK",34,0,0,0,0,9,0,0,0,0,0,0,0,"ARENA_ACTIVITY",0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
